Country,NewGrad,OldGrad,AllGrad,Region
Norway,99.18079,114.9235,106.8728,Nordics
Sweden,106.8354,122.3019,116.1476,Nordics
Denmark,109.9608,116.3644,113.079,Nordics
Finland,111.8187,130.4138,121.6852,Nordics
France,112.4501,185.2885,151.2028,Europe
Austria,112.6772,133.4909,104.1902,Europe
Greece,113.4845,132.6459,132.421,Europe
Belgium,113.9843,137.994,127.2928,Europe
Australia,115.6942,139.4,126.6942,Pacific
Slovak Republic,115.9607,134.7041,126.2216,Europe
Korea,116.6718,152.9181,134.8531,Pacific
Netherlands,118.2571,141.4758,131.5641,Europe
New Zealand,118.5442,136.5062,125.49,Pacific
Italy,120.8335,100.563,101.9141,Europe
Czech Republic,121.9499,142.8683,131.4333,Europe
Estonia,122.1798,128.8271,131.604,Europe
Switzerland,124.7144,139.6649,129.8194,Europe
Slovenia,128.6544,159.0515,141.7642,Europe
Luxembourg,128.7311,146.5816,140.094,Europe
Poland,128.9578,155.4393,140.3102,Europe
OECD average,131.6164,153.3433,142.5852,Other
Latvia,131.7621,166.9495,155.9642,Europe
United Kingdom,137.3611,145.8205,139.3326,Europe
Germany,137.8674,152.9114,151.7706,Europe
Mexico,138.5884,179.5872,153.379,Pacific
Canada,140.9648,145.0018,140.9843,Pacific
Hungary,141.0312,159.2636,155.5887,Europe
Ireland,147.3412,171.6779,146.5163,Europe
Lithuania,148.2731,157.3666,167.0927,Europe
Spain,155.4693,143.3656,145.5617,Europe
Israel,161.9052,172.7702,157.3322,Other
United States,162.371,168.8374,168.6526,USA
Costa Rica,185.1894,203.002,209.7123,Pacific
Chile,213.6748,342.3538,278.7719,Pacific